3,755643e-01
9,182482e-01
9,632332e-01
4,861801e-01
-2,543404e-01
-8,569087e-01
-9,948771e-01
-5,934401e-01
1,296826e-01
7,826766e-01
1,011465e+00
6,920766e-01
-2,372289e-03
-6,954625e-01
-1,011464e+00
-7,790938e-01
-1,243221e-01
5,978992e-01
9,961430e-01
8,544999e-01
2,497763e-01
-4,902837e-01
-9,644817e-01
-9,157746e-01
-3,704975e-01
3,755532e-01
9,182442e-01
9,632534e-01
4,862066e-01
-2,543165e-01
-8,568907e-01
-9,948713e-01
-5,934613e-01
1,296483e-01
7,826592e-01
1,011469e+00
6,921063e-01
-2,331741e-03
-6,954329e-01
-1,011441e+00
-7,791290e-01
-1,243606e-01
5,978653e-01
9,961301e-01
8,545199e-01
2,498146e-01
-4,902755e-01
-9,644762e-01
-9,157861e-01
-3,705239e-01
3,755317e-01
9,182356e-01
9,632476e-01
4,862275e-01
-2,542829e-01
-8,568797e-01
-9,948732e-01
-5,934840e-01
1,296293e-01
7,826441e-01
1,011458e+00
6,921190e-01
-2,299808e-03
-6,954086e-01
-1,011464e+00
-7,791298e-01
-1,243866e-01
5,978472e-01
9,961316e-01
8,545410e-01
2,498339e-01
-4,902626e-01
-9,644660e-01
-9,157864e-01
-3,705523e-01
3,754917e-01
9,182190e-01
9,632681e-01
4,862606e-01
-2,542489e-01
-8,568503e-01
-9,948717e-01
-5,935172e-01
1,295919e-01
7,826126e-01
1,011462e+00
6,921470e-01
-2,278122e-03
-6,953959e-01
-1,011449e+00
-7,791573e-01
-1,244097e-01
5,978399e-01
9,961314e-01
8,545504e-01
2,498762e-01
-4,902272e-01
-9,644577e-01
-9,157951e-01
-3,705756e-01
3,754714e-01
9,182200e-01
9,632809e-01
4,862891e-01
-2,542177e-01
-8,568393e-01
-9,948814e-01
-5,935524e-01
1,295616e-01
7,826000e-01
1,011461e+00
6,359620e-01
-2,159152e-03
-6,258536e-01
-9,103079e-01
-7,012692e-01
-1,120985e-01
5,377648e-01
8,962356e-01
7,688285e-01
2,246706e-01
-4,412084e-01
-8,680245e-01
-8,242489e-01
-3,335639e-01
3,376411e-01
8,261089e-01
8,667000e-01
4,374212e-01
-2,288202e-01
-7,711697e-01
-8,954256e-01
-5,342208e-01
1,163990e-01
7,040594e-01
9,100620e-01
6,745687e-01
-2,216929e-03
-6,953542e-01
-1,011446e+00
-7,791852e-01
-1,244806e-01
5,977839e-01
9,961093e-01
8,545964e-01
2,499205e-01
-4,901709e-01
-9,644297e-01
-9,158253e-01
-3,706331e-01
3,754021e-01
9,181793e-01
9,632923e-01
4,863339e-01
-2,541559e-01
-8,568049e-01
-9,948980e-01
-5,935893e-01
1,295170e-01
7,825562e-01
1,011476e+00
6,922044e-01
-2,181728e-03
-6,953376e-01
-1,011448e+00
-7,792070e-01
-1,245030e-01
5,977487e-01
9,961111e-01
8,546225e-01
2,499536e-01
-4,901265e-01
-9,644342e-01
-9,158450e-01
-3,706588e-01
3,753763e-01
9,181829e-01
9,633119e-01
4,863554e-01
-2,541434e-01
-8,567928e-01
-9,948973e-01
-5,936091e-01
1,294760e-01
7,825425e-01
1,011471e+00
6,922332e-01
-2,153062e-03
-6,953102e-01
-1,011438e+00
-7,792213e-01
-1,245296e-01
5,977353e-01
9,961074e-01
8,546334e-01
2,499789e-01
-4,901268e-01
-9,644131e-01
-9,158520e-01
-3,706865e-01
3,753482e-01
9,181606e-01
9,633106e-01
4,863906e-01
-2,541007e-01
-8,567738e-01
-9,949093e-01
-5,936499e-01
1,294462e-01
7,825202e-01
1,011475e+00
6,922468e-01
-2,122762e-03
-6,952955e-01
-1,011443e+00
-7,792462e-01
-1,245663e-01
5,977083e-01
9,961022e-01
8,546307e-01
2,500175e-01
-4,900967e-01
-9,644103e-01
-9,158596e-01
-3,707124e-01
3,753279e-01
9,181560e-01
9,633271e-01
4,864225e-01
-2,540551e-01
-8,567548e-01
-9,949309e-01
-5,936740e-01
1,294225e-01
7,825024e-01
